team,author,comment_text
SLNA,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_02,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Thanh Hóa,fan_04,Phong độ không ổn định nhưng tinh thần cao
,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
Thanh Hóa,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Hà Nội FC,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Thanh Hóa,fan_04,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
SLNA,fan_03,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Bình Dương,fan_03,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Bình Dương,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_02,Trọng tài bắt lỗi không chính xác
HAGL,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
SLNA,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
Thanh Hóa,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_02,Trọng tài bắt lỗi không chính xác
SLNA,fan_04,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_04,Pha ghi bàn đẹp mắt và tinh tế
Thanh Hóa,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Hà Nội FC,fan_02,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Hà Nội FC,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Bình Dương,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_04,Pha ghi bàn đẹp mắt và tinh tế
Thanh Hóa,fan_01,Trọng tài bắt lỗi không chính xác
Thanh Hóa,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
HAGL,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_03,
Hà Nội FC,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Thanh Hóa,fan_01,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_04,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
Hà Nội FC,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
Thanh Hóa,fan_03,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_02,Trọng tài bắt lỗi không chính xác
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_03,Trọng tài bắt lỗi không chính xác
Bình Dương,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_04,Trọng tài bắt lỗi không chính xác
SLNA,fan_01,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_04,Pha ghi bàn đẹp mắt và tinh tế
Thanh Hóa,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_04,
HAGL,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_04,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_03,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_01,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_01,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_01,Pha ghi bàn đẹp mắt và tinh tế
HAGL,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Thanh Hóa,fan_03,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_01,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_04,Trọng tài bắt lỗi không chính xác
Thanh Hóa,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_04,Chiến thắng thuyết phục và đội chơi rất hay
Thanh Hóa,fan_02,Chiến thắng thuyết phục và đội chơi rất hay
SLNA,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_04,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_04,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_04,Trọng tài bắt lỗi không chính xác
Bình Dương,fan_04,Pha ghi bàn đẹp mắt và tinh tế
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
Thanh Hóa,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
HAGL,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_04,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
SLNA,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
HAGL,fan_02,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_03,Trọng tài bắt lỗi không chính xác
SLNA,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
,fan_04,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
SLNA,fan_03,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Thanh Hóa,fan_03,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
Bình Dương,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Thanh Hóa,fan_03,Trọng tài bắt lỗi không chính xác
Thanh Hóa,fan_04,Phong độ không ổn định nhưng tinh thần cao
HAGL,fan_01,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
SLNA,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_03,Phong độ không ổn định nhưng tinh thần cao
HAGL,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_04,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_03,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Thanh Hóa,fan_02,Phong độ không ổn định nhưng tinh thần cao
HAGL,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
Hà Nội FC,fan_03,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_03,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_04,Chiến thắng thuyết phục và đội chơi rất hay
Bình Dương,fan_04,
Thanh Hóa,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_01,Phong độ không ổn định nhưng tinh thần cao
,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Thanh Hóa,fan_04,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_01,Pha ghi bàn đẹp mắt và tinh tế
HAGL,fan_02,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_03,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_04,Chiến thắng thuyết phục và đội chơi rất hay
Bình Dương,fan_02,Trọng tài bắt lỗi không chính xác
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_04,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_01,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_02,Phong độ không ổn định nhưng tinh thần cao
HAGL,fan_04,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
Hà Nội FC,fan_02,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_03,Pha ghi bàn đẹp mắt và tinh tế
Bình Dương,fan_04,Trọng tài bắt lỗi không chính xác
SLNA,fan_04,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
SLNA,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_03,Pha ghi bàn đẹp mắt và tinh tế
HAGL,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_02,Pha ghi bàn đẹp mắt và tinh tế
Hà Nội FC,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_04,Phong độ không ổn định nhưng tinh thần cao
HAGL,fan_02,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_01,Trọng tài bắt lỗi không chính xác
Bình Dương,fan_01,Phong độ không ổn định nhưng tinh thần cao
Thanh Hóa,fan_03,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_01,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
HAGL,fan_02,Trọng tài bắt lỗi không chính xác
Bình Dương,fan_02,
HAGL,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
HAGL,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Bình Dương,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_02,Trận đấu rất hấp dẫn và chiến thuật xuất sắc
Hà Nội FC,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Bình Dương,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_02,Trọng tài bắt lỗi không chính xác
Thanh Hóa,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
Bình Dương,fan_01,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Bình Dương,fan_03,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
Thanh Hóa,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
SLNA,fan_04,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
Hà Nội FC,fan_01,Chiến thắng thuyết phục và đội chơi rất hay
Hà Nội FC,fan_02,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_04,Phong độ không ổn định nhưng tinh thần cao
Bình Dương,fan_01,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
HAGL,fan_02,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Thanh Hóa,fan_02,Hàng công chơi chưa tốt nhưng hàng thủ chắc chắn
HAGL,fan_01,Pha ghi bàn đẹp mắt và tinh tế
SLNA,fan_01,Pha ghi bàn đẹp mắt và tinh tế
Hà Nội FC,fan_01,Phong độ không ổn định nhưng tinh thần cao
Hà Nội FC,fan_02,Chiến thắng thuyết phục và đội chơi rất hay
Thanh Hóa,fan_02,Trọng tài bắt lỗi không chính xác
Hà Nội FC,fan_04,Cầu thủ thi đấu xuất sắc và đầy nỗ lực
Hà Nội FC,fan_03,Chiến thắng thuyết phục và đội chơi rất hay
